date,Open_SQQQ,High_SQQQ,Low_SQQQ,Close_SQQQ,Volume_SQQQ
2010-02-11,2056606.302,2076541.096,1950287.398,1967410.875,2
2010-02-12,2025937.002,2027470.448,1941086.355,1951053.75,2
2010-02-16,1908628.674,1940575.458,1875915.167,1881793.375,1
2010-02-17,1856746.989,1884604.583,1847546.316,1852913.375,1
2010-02-18,1850613.382,1859302.907,1803076.565,1808443.625,1
2010-02-19,1824800.72,1839624.031,1789020.314,1813299.875,1
